Date,Hour,R_S_M,G_S_M,B_S_M,R_G_M,G_G_M,B_G_M,PM25,T2M,U_10,V_10,TP,SP,GP,BLH,T_500,U_500,V_500,GP_500,T_850,U_850,V_850,GP_850
18/02/2025,05:00,86.42520228,107.6473474,129.539914,68.614975,82.96003229,85.49065833,20.629438,276.78162,-0.6700449,-1.3442497,1.91E-06,100379.81,1411.3127,34.264603,251.41325,9.510434,-16.174225,54631.7,271.99573,1.7491645,-1.7719679,14416.291
18/02/2025,06:00,87.62340237,108.63414,129.3035041,67.96255938,82.11536667,83.33044063,28.503496,276.73987,-0.7858343,-1.1585646,1.91E-06,100401.81,1411.3127,30.320236,251.24223,8.823984,-16.067627,54658.63,272.13788,2.2478147,-1.6200294,14439.668
18/02/2025,07:00,101.2562028,137.5203282,175.5140552,60.49843021,66.85126875,58.09941146,21.048597,276.99402,-1.2120218,-0.53420925,2.77E-06,100417.69,1411.3127,28.704239,251.29672,8.684932,-15.669693,54691.242,272.2082,2.207283,-1.7005625,14456.751
18/02/2025,08:00,124.8427156,164.0497565,201.7638154,60.74192917,68.42187604,73.80512188,27.934212,277.5088,-1.2996988,-0.18891048,2.00E-06,100459.81,1411.3127,158.43352,251.46204,8.9103985,-15.148941,54754.984,272.45538,1.8794513,-2.0153694,14493.502
18/02/2025,09:00,129.4081274,166.3925981,199.9154106,56.36409167,65.19389583,71.29481042,30.162401,278.4928,-1.7571144,0.21987152,7.63E-07,100473.44,1411.3127,397.55893,251.5044,9.483947,-14.2165985,54789.316,272.48712,1.4495623,-2.118307,14504.265
18/02/2025,10:00,139.2427895,172.7982037,201.7851005,45.36893646,56.66969479,66.23228438,28.002821,278.922,-1.6830845,0.1571778,7.63E-07,100463.19,1411.3127,460.89838,251.96844,10.505664,-12.814499,54856.984,273.34064,1.5723429,-1.6175632,14485.316
18/02/2025,11:00,135.8252531,170.0505002,198.6057134,50.38962917,61.55281979,70.42376042,26.320278,279.2467,-1.5223856,0.47437668,7.63E-07,100512.75,1411.3127,704.8584,252.05878,10.140086,-12.971649,54883.953,271.04242,0.62250614,-1.7331715,14512.03
18/02/2025,12:00,131.6889959,165.8230487,194.747311,48.61855104,59.235075,66.86187292,33.248135,279.45398,-1.9972897,1.316164,0,100472.94,1411.3127,783.48926,252.12778,10.330432,-13.004669,54865.574,272.47076,1.0684767,-2.0829878,14522.1875
18/02/2025,13:00,129.6554009,163.4812597,192.3677422,46.26721667,57.21153229,64.55822708,33.252388,279.47388,-2.20716,0.91701984,0,100461,1411.3127,770.2549,252.1144,10.447136,-13.201935,54849.76,272.2929,0.38509178,-0.7663059,14532.871
18/02/2025,14:00,130.6658842,165.1264063,194.5650618,46.5271125,57.11062292,64.25776563,30.824261,279.30566,-2.5879955,0.57747364,0,100466.625,1411.3127,815.9927,252.06827,9.879298,-13.193741,54850.332,272.1034,-0.10647869,0.19763565,14541.419
